year,avg,color
2e3,0.552291855234184,#d5ac4e
2001,0.49939805876249393,#8b6220
2002,0.48549908208759507,#8b6220
2003,0.4523175902370682,#8b6220
2004,0.48972502813094143,#8b6220
2005,0.4646559023691968,#8b6220
2006,0.4377463548175921,#8b6220
2007,0.36580689655172416,#720e07
2008,0.3321718741533093,#720e07
2009,0.3106352461306364,#720e07
2010,0.2501674907582162,#45050c
2011,0.22472294568866258,#45050c
2012,0.23487500468077138,#45050c
2013,0.21634518857142856,#45050c
2014,0.2334748764911435,#45050c
2015,0.27030871649210014,#45050c
2016,0.2397240721987252,#45050c
2017,0.44499999999999995,#8b6220
